cell_id,cell_x,cell_y,types_json,center_lon,center_lat,coefficient_freq,coefficient_spatial
0_105,0,105,{},130.51248086875498,48.589711670110866,4.279394333090757e-06,4.279002520984677e-06
0_106,0,106,{},130.51009351122946,48.59514411982356,4.279394333090757e-06,4.279002520984677e-06
0_107,0,107,{},130.50740879692017,48.60374234836437,4.279394333090757e-06,1.4372446004394343e-05
0_108,0,108,{},130.50680809901365,48.612477477477476,4.279394333090757e-06,1.58143665020243e-05
0_109,0,109,"{'total': 2, 'dominant_layer': 'points', 'layers': {'points': {'count': 1, 'types': {'point:other': 1}}, 'lines': {'count': 1, 'types': {'highway:unclassified': 1}}}}",130.50680809901365,48.62148648648648,8.503433594847536e-05,1.4372446004394343e-05
0_110,0,110,{},130.50680809901365,48.630495495495495,4.279394333090757e-06,1.58143665020243e-05
0_111,0,111,{},130.50835755491553,48.63898431517626,4.279394333090757e-06,1.58143665020243e-05
0_112,0,112,{},130.5114131343539,48.64684151944628,4.279394333090757e-06,4.279002520984677e-06
1_105,1,105,{},130.5219369208303,48.588698521674225,4.279394333090757e-06,4.279002520984677e-06
1_106,1,106,{},130.52042429704096,48.59445945945946,4.279394333090757e-06,4.279002520984678e-06
1_107,1,107,{},130.52042429704096,48.60346846846846,4.279394333090757e-06,4.279002520984677e-06
1_108,1,108,{},130.52042429704096,48.612477477477476,4.279394333090757e-06,1.3250952284015493e-05
1_109,1,109,{},130.52042429704096,48.62148648648648,4.279394333090757e-06,1.3250952284015493e-05
1_110,1,110,{},130.52042429704096,48.630495495495495,4.279394333090757e-06,1.235375730771241e-05
1_111,1,111,{},130.52042429704096,48.6395045045045,4.279394333090757e-06,4.279002520984678e-06
1_112,1,112,{},130.5204298380618,48.648509916049164,4.279394333090757e-06,4.279002520984678e-06
1_113,1,113,{},130.52216437709376,48.656981031885145,4.279394333090757e-06,4.279002520984678e-06
1_114,1,114,{},130.5251619377101,48.66468904489856,4.279394333090757e-06,4.279002520984677e-06
2_105,2,105,{},130.53468883271168,48.58733224540122,4.279394333090757e-06,4.279002520984677e-06
2_106,2,106,{},130.53404049506827,48.59445945945946,4.279394333090757e-06,4.279002520984678e-06
2_107,2,107,{},130.53404049506827,48.60346846846846,4.279394333090757e-06,4.279002520984678e-06
2_108,2,108,{},130.53404049506827,48.612477477477476,4.279394333090757e-06,4.279002520984678e-06
2_109,2,109,{},130.53404049506827,48.62148648648648,4.279394333090757e-06,8.258121396339673e-06
2_110,2,110,{},130.53404049506827,48.630495495495495,4.279394333090757e-06,7.860209508804173e-06
